Sentence,Label
Liam confirmed the endangered status of the tree,05_tree
Children in the class were asked to draw a fish,09_fish
Fatima photographed what appeared to be a moss,00_moss
The ecology report focused on the local shrub,04_shrub
Dr. Smith spent the summer studying a local arachnid,07_arachnid
The sanctuary was established to protect the reptile,11_reptile
The sanctuary was established to protect the mammal,13_mammal
the analyst observed the behavior of a wild crustacean,08_crustacean
Raj documented the habitat of the fish,09_fish
Liam noted that the diet study examined a crustacean,08_crustacean
Bob documented the habitat of the fish,09_fish
the intern spent the summer studying a local arachnid,07_arachnid
Prof. Müller photographed what appeared to be a amphibian,10_amphibian
The researcher identified the specimen as a insect,06_insect
Liam cultured a colony derived from a tree,05_tree
The field guide confirmed the find was a moss,00_moss
the supervisor documented the habitat of the grass,02_grass
The ecology report focused on the local crustacean,08_crustacean
Fatima extracted RNA from the tissue of a amphibian,10_amphibian
The genome was successfully sequenced from a crustacean,08_crustacean
Prof. Wang cultured a colony derived from a crustacean,08_crustacean
The sanctuary was established to protect the arachnid,07_arachnid
Omar documented the habitat of the crustacean,08_crustacean
Omar cultured a colony derived from a flower,03_flower
James documented the habitat of the tree,05_tree
Amara extracted RNA from the tissue of a grass,02_grass
DNA sequencing confirmed the sample came from a mammal,13_mammal
The museum exhibit featured a preserved moss,00_moss
Samples were collected from a living bird,12_bird
Sarah trained for years on identifying a fern,01_fern
the postdoc spent the summer studying a local reptile,11_reptile
Kevin confirmed the endangered status of the reptile,11_reptile
The ecosystem depends heavily on the reptile,11_reptile
Dr. Smith observed the behavior of a wild reptile,11_reptile
the technician confirmed the endangered status of the fern,01_fern
Dr. Okafor noted that the diet study examined a fern,01_fern
Sarah extracted RNA from the tissue of a tree,05_tree
Sarah tagged and released the captured flower,03_flower
Biochemists extracted compounds from the moss,00_moss
The fossil record shows evidence of the ancient moss,00_moss
Sarah spent the summer studying a local moss,00_moss
Amara confirmed the endangered status of the moss,00_moss
the coordinator photographed what appeared to be a moss,00_moss
Prof. Wang photographed what appeared to be a tree,05_tree
Fatima extracted RNA from the tissue of a flower,03_flower
the technician confirmed the endangered status of the flower,03_flower
