Sentence,Label
Bob presented the interim findings in April,03_April
the technician will submit the annual report in January,00_January
The reagent stock is replenished every February,01_February
Sarah confirmed the calibration was done in May,04_May
Field data collection begins in July,06_July
The lab renovation is planned for November,10_November
the nurse finalized the analysis in April,03_April
The grant deadline falls in October,09_October
the intern noticed the anomaly first appeared in January,00_January
Kevin confirmed the calibration was done in May,04_May
James presented the interim findings in October,09_October
Dr. Smith recorded the highest yield in September,08_September
Raj recorded the highest yield in September,08_September
Dr. Patel presented the interim findings in November,10_November
Raj noted the equipment arrived in October,09_October
the technician will submit the annual report in February,01_February
Omar confirmed the calibration was done in February,01_February
Liam presented the interim findings in March,02_March
Sample collection was completed in March,02_March
Prof. Kim finalized the analysis in April,03_April
Dr. Rossi confirmed the calibration was done in October,09_October
The grant deadline falls in March,02_March
Charlie recorded the highest yield in September,08_September
Prof. Wang recorded the highest yield in June,05_June
Dr. Smith noticed the anomaly first appeared in February,01_February
The onboarding of new staff happens every June,05_June
The breeding season peaks in July,06_July
Charlie will submit the annual report in April,03_April
Omar plans to defend the thesis in March,02_March
the analyst recorded the highest yield in October,09_October
The fiscal year closes at the end of November,10_November
the supervisor will submit the annual report in February,01_February
Alice recorded the highest yield in June,05_June
The grant deadline falls in September,08_September
Prof. Wang will submit the annual report in May,04_May
the nurse will submit the annual report in January,00_January
Amara will submit the annual report in May,04_May
Raj noticed the anomaly first appeared in April,03_April
The funding cycle resets each August,07_August
Bob noted the equipment arrived in November,10_November
The fellowship applications are due in April,03_April
The reagent stock is replenished every March,02_March
Sarah plans to defend the thesis in March,02_March
Charlie noticed the anomaly first appeared in February,01_February
the postdoc finalized the analysis in March,02_March
Charlie returned from fieldwork in March,02_March
Maria recorded the highest yield in August,07_August
the postdoc plans to defend the thesis in February,01_February
Dr. Smith noted the equipment arrived in January,00_January
The lab will be closed for two weeks in October,09_October
Fatima recorded the highest yield in November,10_November
the nurse recorded the highest yield in October,09_October
The funding cycle resets each January,00_January
Prof. Wang recorded the highest yield in September,08_September
The protocol amendment was approved in February,01_February
the analyst confirmed the calibration was done in September,08_September
the technician returned from fieldwork in April,03_April
Omar plans to defend the thesis in May,04_May
Elena plans to defend the thesis in March,02_March
Alice confirmed the calibration was done in March,02_March
the analyst noticed the anomaly first appeared in October,09_October
the coordinator presented the interim findings in May,04_May
Fatima returned from fieldwork in November,10_November
Fatima recorded the highest yield in July,06_July
the coordinator confirmed the calibration was done in August,07_August
the supervisor plans to defend the thesis in May,04_May
Sarah presented the interim findings in June,05_June
the postdoc presented the interim findings in July,06_July
the coordinator noted the equipment arrived in June,05_June
The breeding season peaks in December,11_December
The breeding season peaks in September,08_September
Dr. Patel finalized the analysis in December,11_December
the PI plans to defend the thesis in October,09_October
The pilot study wrapped up in August,07_August
Prof. Kim plans to defend the thesis in May,04_May
Bob returned from fieldwork in December,11_December
the intern plans to defend the thesis in November,10_November
Dr. Chen noticed the anomaly first appeared in November,10_November
the supervisor noticed the anomaly first appeared in September,08_September
The fiscal year closes at the end of June,05_June
Omar returned from fieldwork in November,10_November
The protocol amendment was approved in January,00_January
Fatima recorded the highest yield in May,04_May
Liam finalized the analysis in September,08_September
the analyst confirmed the calibration was done in January,00_January
The lab will be closed for two weeks in February,01_February
Kevin noticed the anomaly first appeared in October,09_October
the supervisor returned from fieldwork in March,02_March
Raj will submit the annual report in June,05_June
Prof. Wang finalized the analysis in January,00_January
the analyst plans to defend the thesis in April,03_April
Animal migration peaks in April,03_April
the analyst finalized the analysis in December,11_December
The accreditation review is scheduled for January,00_January
Kevin will submit the annual report in October,09_October
Dr. Chen returned from fieldwork in August,07_August
Prof. Kim finalized the analysis in February,01_February
Sarah finalized the analysis in August,07_August
Dr. Patel finalized the analysis in January,00_January
the intern recorded the highest yield in October,09_October
Dr. Rossi noted the equipment arrived in July,06_July
The lab renovation is planned for September,08_September
the technician noted the equipment arrived in January,00_January
Bob returned from fieldwork in March,02_March
Alice confirmed the calibration was done in June,05_June
Amara returned from fieldwork in November,10_November
The cohort study enrollment opens in July,06_July
The fiscal year closes at the end of December,11_December
Alice finalized the analysis in September,08_September
the nurse will submit the annual report in October,09_October
