Sentence,Label
Prof. Kim flagged that the freezer felt frigid,01_frigid
Liam noted the sample chamber felt cold,02_cold
the analyst described the cleanroom as warm,06_warm
The curing oven is running scorching,09_scorching
Dr. Chen noted the sample chamber felt hot,07_hot
Elena described the cleanroom as mild,05_mild
Dr. Patel complained the office was freezing,00_freezing
The curing oven is running sweltering,08_sweltering
the analyst said the walk-in cooler felt mild,05_mild
Maria reported the autoclave room as cool,04_cool
Morning readings showed the habitat was sweltering,08_sweltering
Maria flagged that the freezer felt mild,05_mild
Elena measured the soil temperature as cool,04_cool
the PI complained the office was freezing,00_freezing
The incubation environment should remain sweltering,08_sweltering
Yuki said the walk-in cooler felt sweltering,08_sweltering
The greenhouse environment is warm,06_warm
Dr. Okafor complained the office was hot,07_hot
Fatima recorded that the growth chamber felt hot,07_hot
Liam described the cleanroom as frigid,01_frigid
The lab conditions today are hot,07_hot
the supervisor complained the office was boiling,10_boiling
Dr. Chen noted the sample chamber felt chilly,03_chilly
Liam complained the office was frigid,01_frigid
Alice said the walk-in cooler felt chilly,03_chilly
Dr. Rossi adjusted the thermostat because it was warm,06_warm
Prof. Wang said the walk-in cooler felt freezing,00_freezing
Dr. Rossi reported the autoclave room as mild,05_mild
Prof. Kim noted the sample chamber felt frigid,01_frigid
the PI noted the sample chamber felt boiling,10_boiling
the postdoc recorded that the growth chamber felt sweltering,08_sweltering
Liam described the cleanroom as cold,02_cold
The greenhouse environment is chilly,03_chilly
Elena said the walk-in cooler felt sweltering,08_sweltering
Outside it is absolutely mild,05_mild
the intern reported the autoclave room as boiling,10_boiling
the PI adjusted the thermostat because it was freezing,00_freezing
James flagged that the freezer felt boiling,10_boiling
Yuki recorded that the growth chamber felt boiling,10_boiling
The reagent shelf area felt cool,04_cool
Prof. Kim adjusted the thermostat because it was sweltering,08_sweltering
Alice recorded that the growth chamber felt hot,07_hot
Dr. Rossi flagged that the freezer felt frigid,01_frigid
Fatima measured the soil temperature as cool,04_cool
the PI noted the sample chamber felt scorching,09_scorching
the coordinator said the walk-in cooler felt cold,02_cold
Dr. Chen recorded that the growth chamber felt mild,05_mild
Elena noted the sample chamber felt chilly,03_chilly
Fatima flagged that the freezer felt sweltering,08_sweltering
the postdoc adjusted the thermostat because it was chilly,03_chilly
Elena complained the office was scorching,09_scorching
Charlie described the cleanroom as mild,05_mild
Prof. Müller recorded that the growth chamber felt cold,02_cold
The ventilation output is blowing scorching,09_scorching
Prof. Müller described the cleanroom as sweltering,08_sweltering
Bob said the walk-in cooler felt cool,04_cool
The bioreactor jacket temperature is frigid,01_frigid
Charlie said the walk-in cooler felt hot,07_hot
Dr. Smith flagged that the freezer felt frigid,01_frigid
Liam noted the sample chamber felt hot,07_hot
Alice noted the sample chamber felt frigid,01_frigid
Omar measured the soil temperature as chilly,03_chilly
The lab conditions today are frigid,01_frigid
Elena described the cleanroom as warm,06_warm
Fatima measured the soil temperature as hot,07_hot
the intern measured the soil temperature as hot,07_hot
Charlie adjusted the thermostat because it was cool,04_cool
Morning readings showed the habitat was cool,04_cool
Maria said the walk-in cooler felt chilly,03_chilly
Prof. Müller reported the autoclave room as warm,06_warm
Maria measured the soil temperature as boiling,10_boiling
The bioreactor jacket temperature is hot,07_hot
the postdoc said the walk-in cooler felt freezing,00_freezing
the coordinator reported the autoclave room as mild,05_mild
the intern complained the office was hot,07_hot
Amara recorded that the growth chamber felt sweltering,08_sweltering
Prof. Wang recorded that the growth chamber felt sweltering,08_sweltering
the coordinator reported the autoclave room as hot,07_hot
Charlie complained the office was cool,04_cool
Fatima complained the office was sweltering,08_sweltering
the supervisor flagged that the freezer felt sweltering,08_sweltering
the coordinator recorded that the growth chamber felt sweltering,08_sweltering
the analyst noted the sample chamber felt scorching,09_scorching
Bob adjusted the thermostat because it was chilly,03_chilly
Liam said the walk-in cooler felt freezing,00_freezing
Amara described the cleanroom as hot,07_hot
Bob measured the soil temperature as sweltering,08_sweltering
The ventilation output is blowing chilly,03_chilly
James recorded that the growth chamber felt cold,02_cold
Field conditions were cold during collection,02_cold
Alice recorded that the growth chamber felt cool,04_cool
Bob said the walk-in cooler felt scorching,09_scorching
Dr. Okafor measured the soil temperature as cold,02_cold
the PI noted the sample chamber felt frigid,01_frigid
Charlie reported the autoclave room as mild,05_mild
Kevin adjusted the thermostat because it was hot,07_hot
the intern flagged that the freezer felt cool,04_cool
Bob noted the sample chamber felt cool,04_cool
Dr. Rossi described the cleanroom as mild,05_mild
Prof. Müller flagged that the freezer felt scorching,09_scorching
the analyst flagged that the freezer felt hot,07_hot
the nurse noted the sample chamber felt sweltering,08_sweltering
Bob measured the soil temperature as scorching,09_scorching
The water bath feels sweltering,08_sweltering
Prof. Wang recorded that the growth chamber felt cold,02_cold
Maria reported the autoclave room as warm,06_warm
the technician flagged that the freezer felt freezing,00_freezing
The climate chamber was set to frigid,01_frigid
the coordinator said the walk-in cooler felt sweltering,08_sweltering
Charlie noted the sample chamber felt sweltering,08_sweltering
the analyst said the walk-in cooler felt warm,06_warm
Surface readings indicate conditions are cool,04_cool
The reactor core temperature reads freezing,00_freezing
The reagent shelf area felt cold,02_cold
Prof. Wang measured the soil temperature as chilly,03_chilly
Prof. Kim flagged that the freezer felt scorching,09_scorching
The water bath feels cold,02_cold
Liam noted the sample chamber felt cool,04_cool
Kevin described the cleanroom as freezing,00_freezing
Alice flagged that the freezer felt chilly,03_chilly
Dr. Chen described the cleanroom as chilly,03_chilly
the nurse described the cleanroom as frigid,01_frigid
Sarah said the walk-in cooler felt freezing,00_freezing
The curing oven is running mild,05_mild
Dr. Smith said the walk-in cooler felt sweltering,08_sweltering
Yuki adjusted the thermostat because it was warm,06_warm
Liam recorded that the growth chamber felt scorching,09_scorching
the technician said the walk-in cooler felt mild,05_mild
The reactor core temperature reads sweltering,08_sweltering
Charlie adjusted the thermostat because it was boiling,10_boiling
Elena described the cleanroom as scorching,09_scorching
Dr. Chen said the walk-in cooler felt hot,07_hot
Prof. Wang described the cleanroom as boiling,10_boiling
the postdoc noted the sample chamber felt boiling,10_boiling
the intern recorded that the growth chamber felt hot,07_hot
Prof. Müller flagged that the freezer felt hot,07_hot
the nurse said the walk-in cooler felt freezing,00_freezing
Dr. Chen reported the autoclave room as cool,04_cool
Charlie reported the autoclave room as chilly,03_chilly
Dr. Patel said the walk-in cooler felt freezing,00_freezing
the postdoc complained the office was boiling,10_boiling
the PI flagged that the freezer felt chilly,03_chilly
the technician adjusted the thermostat because it was cold,02_cold
the nurse flagged that the freezer felt cold,02_cold
Prof. Wang recorded that the growth chamber felt scorching,09_scorching
Sarah measured the soil temperature as chilly,03_chilly
the supervisor reported the autoclave room as sweltering,08_sweltering
Prof. Kim reported the autoclave room as cool,04_cool
Charlie said the walk-in cooler felt freezing,00_freezing
Volunteers rated the testing room as boiling,10_boiling
Dr. Patel described the cleanroom as boiling,10_boiling
Raj described the cleanroom as boiling,10_boiling
Prof. Wang complained the office was frigid,01_frigid
Prof. Müller described the cleanroom as mild,05_mild
Dr. Okafor complained the office was boiling,10_boiling
Prof. Müller measured the soil temperature as boiling,10_boiling
the postdoc complained the office was sweltering,08_sweltering
Raj adjusted the thermostat because it was sweltering,08_sweltering
Sarah described the cleanroom as boiling,10_boiling
Omar reported the autoclave room as mild,05_mild
Yuki described the cleanroom as warm,06_warm
Dr. Rossi noted the sample chamber felt sweltering,08_sweltering
Amara flagged that the freezer felt frigid,01_frigid
Prof. Kim reported the autoclave room as cold,02_cold
James noted the sample chamber felt mild,05_mild
Yuki described the cleanroom as frigid,01_frigid
The climate chamber was set to freezing,00_freezing
the intern recorded that the growth chamber felt freezing,00_freezing
The drying chamber atmosphere is cool,04_cool
Dr. Patel adjusted the thermostat because it was cold,02_cold
Dr. Chen flagged that the freezer felt freezing,00_freezing
Yuki measured the soil temperature as boiling,10_boiling
Elena described the cleanroom as freezing,00_freezing
Amara described the cleanroom as boiling,10_boiling
The water bath feels warm,06_warm
the coordinator complained the office was hot,07_hot
The curing oven is running chilly,03_chilly
Prof. Kim reported the autoclave room as scorching,09_scorching
Dr. Rossi measured the soil temperature as mild,05_mild
Alice said the walk-in cooler felt hot,07_hot
The reagent shelf area felt boiling,10_boiling
Morning readings showed the habitat was scorching,09_scorching
Prof. Müller noted the sample chamber felt cool,04_cool
the coordinator adjusted the thermostat because it was freezing,00_freezing
Kevin noted the sample chamber felt cold,02_cold
Raj noted the sample chamber felt sweltering,08_sweltering
Prof. Wang said the walk-in cooler felt cold,02_cold
Dr. Smith complained the office was warm,06_warm
Dr. Chen adjusted the thermostat because it was cool,04_cool
Dr. Smith reported the autoclave room as scorching,09_scorching
Omar reported the autoclave room as hot,07_hot
The server room is dangerously hot,07_hot
The fermentation tank is currently cool,04_cool
Charlie recorded that the growth chamber felt sweltering,08_sweltering
Morning readings showed the habitat was warm,06_warm
Fatima adjusted the thermostat because it was freezing,00_freezing
Dr. Chen recorded that the growth chamber felt sweltering,08_sweltering
James measured the soil temperature as freezing,00_freezing
the PI adjusted the thermostat because it was cool,04_cool
The curing oven is running cool,04_cool
Sarah complained the office was cool,04_cool
Dr. Patel recorded that the growth chamber felt hot,07_hot
Yuki said the walk-in cooler felt boiling,10_boiling
The bioreactor jacket temperature is mild,05_mild
Bob adjusted the thermostat because it was mild,05_mild
the technician adjusted the thermostat because it was hot,07_hot
the PI adjusted the thermostat because it was sweltering,08_sweltering
Surface readings indicate conditions are freezing,00_freezing
Elena recorded that the growth chamber felt chilly,03_chilly
Prof. Müller recorded that the growth chamber felt cool,04_cool
James said the walk-in cooler felt cold,02_cold
Field conditions were sweltering during collection,08_sweltering
Yuki complained the office was mild,05_mild
Dr. Chen reported the autoclave room as sweltering,08_sweltering
Kevin described the cleanroom as mild,05_mild
Morning readings showed the habitat was chilly,03_chilly
The water bath feels cool,04_cool
Dr. Okafor noted the sample chamber felt hot,07_hot
Charlie measured the soil temperature as cool,04_cool
the supervisor flagged that the freezer felt warm,06_warm
Charlie said the walk-in cooler felt warm,06_warm
The incubation environment should remain mild,05_mild
Dr. Rossi flagged that the freezer felt mild,05_mild
Prof. Wang flagged that the freezer felt scorching,09_scorching
the coordinator measured the soil temperature as mild,05_mild
Field conditions were mild during collection,05_mild
Dr. Chen measured the soil temperature as cool,04_cool
Elena reported the autoclave room as chilly,03_chilly
Outside it is absolutely scorching,09_scorching
The server room is dangerously boiling,10_boiling
Prof. Müller reported the autoclave room as boiling,10_boiling
Amara measured the soil temperature as sweltering,08_sweltering
Dr. Rossi described the cleanroom as hot,07_hot
Amara said the walk-in cooler felt scorching,09_scorching
Dr. Chen adjusted the thermostat because it was sweltering,08_sweltering
Amara said the walk-in cooler felt freezing,00_freezing
Charlie complained the office was freezing,00_freezing
Omar reported the autoclave room as cool,04_cool
Charlie flagged that the freezer felt cold,02_cold
Morning readings showed the habitat was boiling,10_boiling
the nurse said the walk-in cooler felt warm,06_warm
the technician described the cleanroom as boiling,10_boiling
Amara flagged that the freezer felt freezing,00_freezing
Raj measured the soil temperature as cool,04_cool
Raj noted the sample chamber felt freezing,00_freezing
Prof. Kim complained the office was cool,04_cool
Bob said the walk-in cooler felt cold,02_cold
the supervisor reported the autoclave room as chilly,03_chilly
the nurse adjusted the thermostat because it was sweltering,08_sweltering
The water bath feels freezing,00_freezing
Bob said the walk-in cooler felt freezing,00_freezing
Yuki said the walk-in cooler felt mild,05_mild
The incubation environment should remain cool,04_cool
Yuki recorded that the growth chamber felt cool,04_cool
Elena described the cleanroom as cool,04_cool
the coordinator described the cleanroom as boiling,10_boiling
the technician measured the soil temperature as chilly,03_chilly
Sarah complained the office was sweltering,08_sweltering
Alice adjusted the thermostat because it was frigid,01_frigid
the PI measured the soil temperature as boiling,10_boiling
Maria measured the soil temperature as cold,02_cold
