Sentence,Label
Maria will finalize the PCR results on Sunday,06_Sunday
the coordinator will finalize the PCR results on Tuesday,01_Tuesday
the nurse will finalize the PCR results on Sunday,06_Sunday
Amara scheduled the MRI scan for Sunday,06_Sunday
The shipment of reagents is scheduled for Sunday,06_Sunday
Dr. Smith is presenting the literature review on Tuesday,01_Tuesday
the technician is responsible for the morning rounds on Friday,04_Friday
Omar scheduled the MRI scan for Monday,00_Monday
Fatima is responsible for the morning rounds on Monday,00_Monday
Charlie scheduled the MRI scan for Monday,00_Monday
Dr. Rossi is responsible for the morning rounds on Friday,04_Friday
Dr. Okafor is responsible for the morning rounds on Monday,00_Monday
Charlie scheduled the MRI scan for Thursday,03_Thursday
The final abstract is due this Friday,04_Friday
Our collaborator is visiting the facility on Saturday,05_Saturday
the technician scheduled the MRI scan for Tuesday,01_Tuesday
Kevin is presenting the literature review on Sunday,06_Sunday
Bob noted a discrepancy in the logs from Monday,00_Monday
We will start the sequencing run on Sunday,06_Sunday
The lab will be closed for the holiday on Friday,04_Friday
Dr. Rossi is presenting the literature review on Sunday,06_Sunday
the postdoc is responsible for the morning rounds on Thursday,03_Thursday
Prof. Kim noted a discrepancy in the logs from Thursday,03_Thursday
Amara will finalize the PCR results on Sunday,06_Sunday
Charlie will finalize the PCR results on Tuesday,01_Tuesday
the supervisor is presenting the literature review on Tuesday,01_Tuesday
the postdoc scheduled the MRI scan for Sunday,06_Sunday
the technician noted a discrepancy in the logs from Saturday,05_Saturday
The weekly lab sync has been moved to Monday,00_Monday
Liam is responsible for the morning rounds on Monday,00_Monday
Kevin is presenting the literature review on Friday,04_Friday
the nurse is responsible for the morning rounds on Friday,04_Friday
Check the titration levels again on Friday,04_Friday
Dr. Smith is presenting the literature review on Thursday,03_Thursday
the postdoc is presenting the literature review on Tuesday,01_Tuesday
Elena scheduled the MRI scan for Friday,04_Friday
James scheduled the MRI scan for Monday,00_Monday
the coordinator noted a discrepancy in the logs from Saturday,05_Saturday
Sarah is responsible for the morning rounds on Thursday,03_Thursday
the analyst is presenting the literature review on Saturday,05_Saturday
Fatima noted a discrepancy in the logs from Friday,04_Friday
Yuki noted a discrepancy in the logs from Tuesday,01_Tuesday
Submit the grant proposal before Tuesday,01_Tuesday
the PI will finalize the PCR results on Thursday,03_Thursday
The chemical waste pickup is every Wednesday,02_Wednesday
Dr. Rossi is responsible for the morning rounds on Tuesday,01_Tuesday
Yuki will finalize the PCR results on Wednesday,02_Wednesday
Prof. Müller is responsible for the morning rounds on Wednesday,02_Wednesday
Fatima will finalize the PCR results on Wednesday,02_Wednesday
the coordinator is responsible for the morning rounds on Tuesday,01_Tuesday
the intern is presenting the literature review on Saturday,05_Saturday
Dr. Chen is presenting the literature review on Thursday,03_Thursday
Yuki noted a discrepancy in the logs from Wednesday,02_Wednesday
the supervisor noted a discrepancy in the logs from Monday,00_Monday
the PI noted a discrepancy in the logs from Saturday,05_Saturday
The statistical analysis will be performed on Tuesday,01_Tuesday
Dr. Patel noted a discrepancy in the logs from Wednesday,02_Wednesday
Yuki is presenting the literature review on Thursday,03_Thursday
Fatima scheduled the MRI scan for Thursday,03_Thursday
Prof. Wang is responsible for the morning rounds on Monday,00_Monday
the nurse will finalize the PCR results on Wednesday,02_Wednesday
Dr. Smith will finalize the PCR results on Friday,04_Friday
the analyst scheduled the MRI scan for Saturday,05_Saturday
Bob is presenting the literature review on Saturday,05_Saturday
the nurse noted a discrepancy in the logs from Wednesday,02_Wednesday
Kevin noted a discrepancy in the logs from Saturday,05_Saturday
Alice will finalize the PCR results on Thursday,03_Thursday
Amara will finalize the PCR results on Saturday,05_Saturday
Data backup must be completed every Wednesday,02_Wednesday
the nurse is presenting the literature review on Thursday,03_Thursday
Yuki is responsible for the morning rounds on Thursday,03_Thursday
Dr. Smith will finalize the PCR results on Wednesday,02_Wednesday
We expect the peer review feedback by Thursday,03_Thursday
Elena is responsible for the morning rounds on Wednesday,02_Wednesday
the intern will finalize the PCR results on Sunday,06_Sunday
James is responsible for the morning rounds on Tuesday,01_Tuesday
the analyst will finalize the PCR results on Friday,04_Friday
Dr. Chen is responsible for the morning rounds on Wednesday,02_Wednesday
Amara is presenting the literature review on Thursday,03_Thursday
the analyst will finalize the PCR results on Sunday,06_Sunday
the PI scheduled the MRI scan for Tuesday,01_Tuesday
Dr. Okafor noted a discrepancy in the logs from Wednesday,02_Wednesday
Bob will finalize the PCR results on Thursday,03_Thursday
Elena will finalize the PCR results on Wednesday,02_Wednesday
the coordinator will finalize the PCR results on Thursday,03_Thursday
Dr. Okafor will finalize the PCR results on Wednesday,02_Wednesday
Maria noted a discrepancy in the logs from Wednesday,02_Wednesday
James is responsible for the morning rounds on Wednesday,02_Wednesday
Prof. Kim noted a discrepancy in the logs from Monday,00_Monday
Sarah noted a discrepancy in the logs from Wednesday,02_Wednesday
Dr. Okafor will finalize the PCR results on Monday,00_Monday
Alice scheduled the MRI scan for Thursday,03_Thursday
Kevin is presenting the literature review on Saturday,05_Saturday
Dr. Patel scheduled the MRI scan for Thursday,03_Thursday
the nurse noted a discrepancy in the logs from Monday,00_Monday
Omar will finalize the PCR results on Monday,00_Monday
Dr. Okafor is presenting the literature review on Saturday,05_Saturday
Fatima noted a discrepancy in the logs from Saturday,05_Saturday
Dr. Okafor noted a discrepancy in the logs from Tuesday,01_Tuesday
Dr. Rossi is responsible for the morning rounds on Thursday,03_Thursday
Is the centrifuge maintenance occurring on Thursday,03_Thursday
Elena scheduled the MRI scan for Wednesday,02_Wednesday
Sarah scheduled the MRI scan for Saturday,05_Saturday
Omar will finalize the PCR results on Thursday,03_Thursday
the analyst noted a discrepancy in the logs from Monday,00_Monday
the supervisor noted a discrepancy in the logs from Wednesday,02_Wednesday
The liquid nitrogen refill happens on Friday,04_Friday
the technician noted a discrepancy in the logs from Wednesday,02_Wednesday
Elena noted a discrepancy in the logs from Sunday,06_Sunday
Amara is responsible for the morning rounds on Tuesday,01_Tuesday
The lab will be closed for the holiday on Tuesday,01_Tuesday
We expect the peer review feedback by Wednesday,02_Wednesday
We will start the sequencing run on Tuesday,01_Tuesday
The clinical trial phase begins this Tuesday,01_Tuesday
The sample size will be recalculated on Sunday,06_Sunday
Dr. Rossi is presenting the literature review on Wednesday,02_Wednesday
Liam noted a discrepancy in the logs from Thursday,03_Thursday
Liam is responsible for the morning rounds on Friday,04_Friday
the coordinator noted a discrepancy in the logs from Thursday,03_Thursday
the technician will finalize the PCR results on Monday,00_Monday
the technician is presenting the literature review on Friday,04_Friday
the technician is responsible for the morning rounds on Saturday,05_Saturday
Alice is responsible for the morning rounds on Monday,00_Monday
Dr. Patel is responsible for the morning rounds on Sunday,06_Sunday
Submit the grant proposal before Thursday,03_Thursday
Sarah is presenting the literature review on Wednesday,02_Wednesday
The ethics committee will meet on Friday,04_Friday
Liam is responsible for the morning rounds on Saturday,05_Saturday
